,Acceleration in X,Acceleration in Y,Accel in z,Angular Velocity in x,Angular Velocity in y,Angular Velocity in z,,,Time in ms
1.67608E+18,-0.953125,-0.145996094,0.120117188,0.557251908,-0.335877863,6.557251908,0,0,2042510.08
1.67608E+18,-0.952148438,-0.140625,0.136230469,0.267175573,0.076335878,6.687022901,0,0,2042530.048
1.67608E+18,-0.938964844,-0.086669922,0.162597656,0.122137405,0.435114504,6.885496183,0,0,2042540.032
1.67608E+18,-0.928222656,-0.005615234,0.141845703,0.236641221,0.732824427,7.167938931,0,0,2042540.032
1.67608E+18,-0.913085938,0.016113281,0.144042969,0.496183206,0.916030534,7.435114504,0,0,2042550.016
1.67608E+18,-0.91015625,0.047363281,0.118896484,0.809160305,1.129770992,7.496183206,0,0,2103450.112
1.67608E+18,-0.915771484,0.078369141,0.070556641,1.221374046,1.404580153,7.763358779,0,0,2103470.08
1.67608E+18,-0.910400391,0.015136719,0.026367188,1.389312977,1.687022901,7.969465649,0,0,2103480.064
1.67608E+18,-0.920166016,-0.046630859,-0.058105469,1.351145038,1.816793893,8.312977099,0,0,2103480.064
1.67608E+18,-0.936767578,-0.007568359,-0.078857422,1.122137405,1.854961832,8.564885496,0,0,2103480.064
1.67608E+18,-0.939697266,-0.022705078,-0.103271484,0.969465649,1.938931298,8.992366412,0,0,2103559.936
1.67608E+18,-0.958740234,-0.060302734,-0.120117188,0.854961832,1.969465649,9.503816794,0,0,2163389.952
1.67608E+18,-0.967041016,-0.127441406,-0.163574219,0.633587786,1.992366412,10.20610687,0,0,2163409.92
1.67608E+18,-0.948242188,-0.210693359,-0.207763672,0.358778626,1.946564885,11.08396947,0,0,2163430.144
1.67608E+18,-0.965576172,-0.234863281,-0.173583984,-0.007633588,2.007633588,12.13740458,0,0,2163440.128
1.67608E+18,-0.987548828,-0.265625,-0.166992188,-0.404580153,2.183206107,13.27480916,0,0,2163460.096
1.67608E+18,-1.040283203,-0.305419922,-0.104248047,-0.763358779,2.381679389,14.35877863,0,0,2163480.064
1.67608E+18,-1.0859375,-0.3828125,-0.018066406,-1.015267176,2.519083969,15.18320611,0,0,2223980.032
1.67608E+18,-1.810302734,-0.740234375,-0.072021484,-1.442748092,3.129770992,14.77862595,0,0,2224000
1.67608E+18,-1.404785156,-0.985351563,0.187988281,-2.13740458,3.229007634,16.58778626,0,0,2224009.984
1.67608E+18,-1.260498047,-0.435058594,-0.0625,-0.847328244,3.030534351,18.11450382,0,0,2224059.904
1.67608E+18,-1.180419922,-0.582763672,0.129638672,0.473282443,2.282442748,19.80916031,0,0,2224059.904
1.67608E+18,-1.349853516,-0.593017578,0.150146484,1.893129771,1.93129771,21.69465649,0,0,2224110.08
1.67608E+18,-1.353759766,-0.789306641,0.106689453,2.694656489,1.679389313,23.61832061,0,0,2270579.968
1.67608E+18,-1.369384766,-0.855957031,0.010009766,3.496183206,1.290076336,25.85496183,0,0,2270599.936
1.67608E+18,-1.443847656,-0.967529297,-0.027587891,3.870229008,1.030534351,28.20610687,0,0,2270609.92
1.67608E+18,-1.608398438,-1.065917969,-0.091064453,3.916030534,0.832061069,30.46564885,0,0,2270640.128
1.67608E+18,-1.725830078,-0.989746094,-0.162597656,3.908396947,0.519083969,31.81679389,0,0,2270650.112
1.67608E+18,2,-0.642578125,-0.114501953,4.541984733,0.595419847,31.8778626,0,0,2317830.144
1.67608E+18,2,-0.902832031,0.046875,4.251908397,1.839694656,32.38167939,0,0,2317850.112
1.67608E+18,2,-0.627929688,0.229003906,4.473282443,2.534351145,32.17557252,0,0,2317870.08
1.67608E+18,2,-0.628662109,0.167480469,4.083969466,3,31.0610687,0,0,2317880.064
1.67608E+18,-1.844482422,-0.581054688,-0.038330078,3.358778626,2.58778626,29.92366412,0,0,2362599.936
1.67608E+18,-1.611572266,-0.068359375,-0.029541016,3.618320611,1.480916031,28.60305344,0,0,2362619.904
1.67608E+18,-1.369628906,0.401123047,0.134521484,4.076335878,0.114503817,25.38167939,0,0,2362640.128
1.67608E+18,-1.953857422,-0.499511719,0.742431641,-1.160305344,-0.65648855,17.1221374,0,0,2362690.048
1.67608E+18,0.938720703,-1.988037109,-1.256103516,-5.648854962,5.885496183,18.6870229,0,0,2362700.032
1.67608E+18,-1.163330078,1.999938965,1.020507813,8.106870229,-2.221374046,15.41984733,0,0,2409080.064
1.67608E+18,-0.880371094,-0.303710938,-0.088867188,-2.938931298,1.198473282,-1.885496183,0,0,2409100.032
1.67608E+18,-0.0625,-0.28515625,-0.295898438,-4.763358779,0.13740458,-2.511450382,0,0,2409129.984
1.67608E+18,-0.630859375,0.551025391,-0.239501953,-0.374045802,0.641221374,-6.259541985,0,0,2409149.952
1.67608E+18,-0.256835938,-0.490966797,0.166748047,-3.854961832,1.038167939,-8.778625954,0,0,2455780.096
1.67608E+18,-0.162597656,0.034912109,0.016357422,-5.290076336,1.427480916,-9.961832061,0,0,2455830.016
1.67608E+18,0.026123047,0.532470703,-0.3984375,-3.809160305,1.091603053,-10.24427481,0,0,2455859.968
1.67608E+18,0.00390625,0.300537109,-0.314697266,0.114503817,0.427480916,-12.72519084,0,0,2455869.952
1.67608E+18,-0.047363281,0.511474609,-0.336669922,0.923664122,-0.076335878,-15.33587786,0,0,2455879.936
1.67608E+18,-0.255615234,0.791503906,-0.414306641,3.832061069,0.015267176,-18.33587786,0,0,2502520.064
1.67608E+18,-0.324951172,0.488525391,-0.250488281,4.923664122,-0.061068702,-21.47328244,0,0,2502620.16
1.67608E+18,-0.268798828,0.403808594,-0.213134766,5.114503817,-0.442748092,-23.96946565,0,0,2502620.16
1.67608E+18,-0.263671875,0.405029297,-0.1953125,5.41221374,-0.923664122,-26.88549618,0,0,2502630.144
1.67608E+18,-0.259033203,0.110839844,-0.122558594,4.610687023,-1.20610687,-29.22900763,0,0,2502630.144
1.67608E+18,-0.290771484,0.263183594,-0.680175781,5.618320611,-1.053435115,-32.51145038,0,0,2548590.08
1.67608E+18,-0.283691406,0.089355469,-0.116943359,2.007633588,-2.083969466,-32.92366412,0,0,2548620.032
1.67608E+18,-0.336914063,0.129150391,-0.184326172,0.786259542,-2.435114504,-33.86259542,0,0,2548649.984
1.67608E+18,-0.357177734,0.195068359,-0.168701172,-0.251908397,-2.938931298,-35.60305344,0,0,2548669.952
1.67608E+18,-0.335449219,0.146972656,-0.150390625,-1.221374046,-3.511450382,-36.96183206,0,0,2609570.048
1.67608E+18,-0.332763672,0.106933594,-0.193603516,-2.160305344,-4.183206107,-38.15267176,0,0,2609609.984
1.67608E+18,-0.303955078,0.071777344,-0.200927734,-3.106870229,-5.152671756,-37.16793893,0,0,2609619.968
1.67608E+18,-0.333984375,0.065185547,-0.188232422,-4.038167939,-6.13740458,-39.86259542,0,0,2609629.952
1.67608E+18,-0.386962891,0.065185547,-0.171630859,-4.916030534,-7.13740458,-40.41984733,0,0,2609629.952
1.67608E+18,-0.431152344,0.050292969,-0.173583984,-5.877862595,-8.389312977,-40.78625954,0,0,2609639.936
1.67608E+18,-0.479980469,0.047851563,-0.207275391,-6.694656489,-8.007633588,-40.85496183,0,0,2609649.92
1.67608E+18,-0.556396484,0.033935547,-0.205810547,-7.839694656,-11.13740458,-41.19083969,0,0,2658739.968
1.67608E+18,-0.700195313,0.050048828,-0.172119141,-8.916030534,-12.29007634,-41.57251908,0,0,2658749.952
1.67608E+18,-0.83984375,-0.021240234,-0.023193359,-10.65648855,-13.03053435,-41.90076336,0,0,2658759.936
1.67608E+18,-1.057617188,0.037109375,0.077880859,-12.16793893,-13.32824427,-41.5648855,0,0,2658759.936
1.67608E+18,-1.397216797,-0.119384766,0.201171875,-13.90076336,-13.13740458,-39.99236641,0,0,2707660.032
1.67608E+18,-1.866455078,-0.180175781,0.271728516,-15.54198473,-12.18320611,-37.45038168,0,0,2707689.984
1.67608E+18,2,-0.227539063,0.396484375,-16.9389313,-10.41221374,-33.89312977,0,0,2707699.968
1.67608E+18,2,0.162597656,0.369140625,-17.13740458,-8.282442748,-29.67175573,0,0,2707699.968
1.67608E+18,2,0.728759766,0.132080078,-14.91603053,-5.183206107,-25.70229008,0,0,2707729.92
1.67608E+18,2,0.166503906,0.330566406,-15.66412214,-3.251908397,-23.22900763,0,0,2751960.064
1.67608E+18,-1.835693359,-0.032714844,0.144775391,-16.76335878,-3.992366412,-17.6870229,0,0,2751980.032
1.67608E+18,-1.359375,0.875976563,-0.107666016,-11.23664122,-3.27480916,-10.35877863,0,0,2752000
1.67608E+18,-1.165039063,0.992675781,0.395996094,-8.083969466,-3.923664122,-5.450381679,0,0,2752049.92
1.67608E+18,-1.426269531,1.395263672,0.202880859,-5.175572519,-3.572519084,-2.625954198,0,0,2752059.904
1.67608E+18,-1.173828125,1.430664063,-0.087402344,-0.374045802,-2.641221374,1.053435115,0,0,2797660.16
1.67608E+18,-0.817871094,1.455566406,0.107666016,4.938931298,-2.183206107,4.549618321,0,0,2797680.128
1.67608E+18,-0.784423828,1.45703125,0.173828125,9.129770992,-1.519083969,5.641221374,0,0,2797690.112
1.67608E+18,2,-0.420166016,1.023193359,5.702290076,1.511450382,1.954198473,0,0,2797700.096
1.67608E+18,2,-1.40625,0.491455078,-5.832061069,5.34351145,12.16030534,0,0,2868380.16
1.67608E+18,-1.613037109,1.999938965,0.715820313,9.030534351,14.22900763,19.64885496,0,0,2868410.112
1.67608E+18,-1.65625,-0.031311035,-0.394042969,8.969465649,9.427480916,24.94656489,0,0,2868410.112
1.67608E+18,-0.722167969,1.090820313,0.103759766,17.23664122,3.061068702,22.96946565,0,0,2868460.032
1.67608E+18,-0.651123047,-1.068603516,0.177734375,11.5648855,-0.091603053,21.58015267,0,0,2868470.016
1.67608E+18,-0.023925781,-1.402099609,-0.143310547,6.702290076,-0.633587786,21.77099237,0,0,2868529.92
1.67608E+18,-1.726074219,1.999938965,-0.800292969,11.08396947,2.824427481,21.11450382,0,0,2868539.904
1.67608E+18,-1.206054688,1.999938965,-0.758300781,15.4351145,4.175572519,17.19847328,0,0,2918820.096
1.67608E+18,-1.151855469,1.296142578,-1.046875,13.70229008,4.045801527,13.9389313,0,0,2918850.048
1.67608E+18,-0.979736328,-0.134521484,-0.692871094,8.801526718,3.259541985,12.7480916,0,0,2918860.032
1.67608E+18,-0.791748047,-0.781738281,-0.181396484,1.824427481,0.778625954,12.1221374,0,0,2918870.016
1.67608E+18,-1.071777344,0.084960938,-0.359375,-3.755725191,-0.549618321,11.95419847,0,0,2918899.968
1.67608E+18,-0.835205078,0.580322266,0.176513672,-4.549618321,-1.885496183,10.11450382,0,0,2969280
1.67608E+18,-1.009765625,0.735839844,0.247802734,-4.908396947,-1.86259542,8.251908397,0,0,2969299.968
1.67608E+18,-1.102783203,0.434570313,0.228027344,-1.694656489,-0.877862595,6.847328244,0,0,2969319.936
1.67608E+18,-0.993408203,-0.094970703,0.258056641,-2.007633588,-0.41221374,5.79389313,0,0,2969329.92
1.67608E+18,-0.984375,-0.140625,0.076904297,-1.236641221,-0.091603053,5.603053435,0,0,2969350.144
1.67608E+18,-0.69140625,-0.334716797,0.173339844,-2.175572519,-1.20610687,5.320610687,0,0,3029200.128
